update_rule,K,N,L,time_taken,eve_score_none,eve_score_geometric,eve_score_average
anti_hebbian,4,4,16,155.024817,77.734375,86.91406,82.3242175
random_walk,4,7,18,256.025915,85.11905,79.6627,82.390875
anti_hebbian,4,6,14,182.81276,87.05357,77.82738,82.440475
anti_hebbian,4,7,18,243.589295,85.81349,79.06746,82.440475
anti_hebbian,4,5,5,21.3958505,86.5,78.5,82.5
hebbian,4,8,5,30.114438,80.625,84.375,82.5
hebbian,4,4,20,153.794795,79.375,85.625,82.5
anti_hebbian,4,8,14,147.861585,81.25,83.92857,82.589285
random_walk,4,8,15,193.62852,79.479164,85.729164,82.604164
anti_hebbian,4,4,15,103.504485,83.125,82.083336,82.604168
random_walk,4,4,17,163.729565,79.04412,86.39706,82.72059
random_walk,4,4,22,326.03117,88.21023,77.41477,82.8125
hebbian,4,5,8,43.647256,85.9375,79.6875,82.8125
hebbian,4,5,11,98.292185,81.818184,83.86364,82.840912
hebbian,4,8,13,202.20172,80.40865,85.33654,82.872595
anti_hebbian,4,5,14,113.317725,86.07143,79.82143,82.94643
hebbian,4,6,20,282.009535,83.541664,82.604164,83.072914
random_walk,4,6,11,109.72492,82.57576,83.90151,83.238635
hebbian,4,8,15,226.90563,83.645836,82.916664,83.28125
random_walk,4,7,21,388.77107,84.353745,82.39796,83.3758525
hebbian,4,7,5,22.7227165,83.57143,83.21429,83.39286
random_walk,4,8,7,58.600386,85.04464,81.91964,83.48214
anti_hebbian,4,8,13,119.091235,84.73558,82.33173,83.533655
anti_hebbian,4,5,13,58.43125,84.42308,82.69231,83.557695
random_walk,4,7,13,170.533195,85.98901,81.18132,83.585165
anti_hebbian,4,6,9,63.316963,81.48148,86.111115,83.7962975
hebbian,4,5,10,65.9061375,87,80.75,83.875
random_walk,4,5,7,41.70496,80.35714,87.5,83.92857
anti_hebbian,4,7,23,512.0349,86.490685,81.4441,83.9673925
anti_hebbian,4,7,15,153.75664,85.95238,82.02381,83.988095
random_walk,4,4,21,234.550885,84.82143,83.333336,84.077383
hebbian,4,5,15,148.559715,82.166664,86,84.083332
random_walk,4,5,20,224.34335,80.125,88.25,84.1875
hebbian,4,6,23,422.94664,86.141304,82.246376,84.19384
anti_hebbian,4,4,9,40.1382485,87.15278,81.59722,84.375
hebbian,4,7,9,66.345695,87.5,81.94444,84.72222
random_walk,4,8,4,14.5906945,84.765625,84.765625,84.765625
hebbian,4,4,19,175.679105,84.375,85.197365,84.7861825
anti_hebbian,4,5,23,358.97072,81.521736,88.152176,84.836956
hebbian,4,7,12,128.565622,79.166664,90.625,84.895832
hebbian,4,7,20,389.067125,86.33929,83.66071,85
anti_hebbian,4,5,7,25.3087755,86.42857,83.92857,85.17857
hebbian,4,7,15,209.06891,82.97619,87.85714,85.416665
anti_hebbian,4,4,23,341.17809,78.66848,92.25543,85.461955
random_walk,4,5,22,363.823035,85.681816,85.568184,85.625
random_walk,4,4,5,12.0441765,82.5,88.75,85.625
anti_hebbian,4,4,7,19.156842,88.39286,83.92857,86.160715
anti_hebbian,4,5,15,175.796085,85.666664,87,86.333332
random_walk,4,5,15,130.70809,87.166664,87.166664,87.166664
anti_hebbian,4,4,10,60.957497,89.375,85.625,87.5
