update_rule,K,N,L,attack,training_time,adversary_score
hebbian,4.0,4.0,8.0,geometric,19.969279999999998,83.984375
hebbian,4.0,4.0,8.0,none,26.583997999999998,78.515625
hebbian,4.0,4.0,9.0,geometric,58.873940000000005,79.513885
hebbian,4.0,4.0,9.0,none,28.513077000000003,76.736115
hebbian,4.0,4.0,10.0,geometric,50.147682,81.875
hebbian,4.0,4.0,10.0,none,32.49112,82.5
hebbian,4.0,4.0,11.0,geometric,44.125282,77.556816
hebbian,4.0,4.0,11.0,none,50.37522,82.38636
hebbian,4.0,4.0,12.0,geometric,48.16518,82.8125
hebbian,4.0,4.0,12.0,none,71.441185,69.270836
hebbian,4.0,4.0,13.0,geometric,86.14164,76.68269000000001
hebbian,4.0,4.0,13.0,none,188.81332,86.29808
hebbian,4.0,4.0,14.0,geometric,111.93678,77.00893
hebbian,4.0,4.0,14.0,none,122.4784,83.03571
hebbian,4.0,4.0,15.0,geometric,67.11801,80.208336
hebbian,4.0,4.0,15.0,none,96.22895,81.666664
hebbian,4.0,4.0,16.0,geometric,138.24598999999998,84.765625
hebbian,4.0,4.0,16.0,none,107.20846599999999,72.46094000000001
hebbian,4.0,4.0,17.0,geometric,135.83231999999998,83.63971
hebbian,4.0,4.0,17.0,none,74.999275,80.51471
hebbian,4.0,4.0,18.0,geometric,188.0314,71.875
hebbian,4.0,4.0,18.0,none,148.28957,79.166664
hebbian,4.0,4.0,19.0,geometric,218.4203,85.197365
hebbian,4.0,4.0,19.0,none,132.93791000000002,84.375
hebbian,4.0,4.0,20.0,geometric,142.10721,85.625
hebbian,4.0,4.0,20.0,none,165.48238,79.375
hebbian,4.0,4.0,21.0,geometric,270.62523999999996,86.60714
hebbian,4.0,4.0,21.0,none,177.72799999999998,77.083336
hebbian,4.0,4.0,22.0,geometric,161.536,80.11364
hebbian,4.0,4.0,22.0,none,135.5958,75.568184
hebbian,4.0,4.0,23.0,geometric,186.95528000000002,83.016304
hebbian,4.0,4.0,23.0,none,181.51917,72.28260999999999
hebbian,4.0,4.0,24.0,geometric,345.269485,80.92447999999999
hebbian,4.0,4.0,24.0,none,270.29656385786785,79.95386525380708
hebbian,4.0,5.0,4.0,geometric,12.438261,73.125
hebbian,4.0,5.0,4.0,none,10.531958,85.0
hebbian,4.0,5.0,5.0,geometric,23.138405,85.5
hebbian,4.0,5.0,5.0,none,16.172216,77.0
hebbian,4.0,5.0,6.0,geometric,23.696379999999998,77.5
hebbian,4.0,5.0,6.0,none,25.311224,76.25
hebbian,4.0,5.0,7.0,geometric,25.333578,82.5
hebbian,4.0,5.0,7.0,none,31.66886,77.5
hebbian,4.0,5.0,8.0,geometric,42.924942,79.6875
hebbian,4.0,5.0,8.0,none,44.36957,85.9375
hebbian,4.0,5.0,9.0,geometric,74.06579599999999,82.77778
hebbian,4.0,5.0,9.0,none,66.74191,76.94444
hebbian,4.0,5.0,10.0,geometric,61.219765,80.75
hebbian,4.0,5.0,10.0,none,70.59251,87.0
hebbian,4.0,5.0,11.0,geometric,137.59894,83.86364
hebbian,4.0,5.0,11.0,none,58.98543000000001,81.818184
hebbian,4.0,5.0,12.0,geometric,82.00435,78.125
hebbian,4.0,5.0,12.0,none,84.294365,70.0
hebbian,4.0,5.0,13.0,geometric,159.57788,78.65385
hebbian,4.0,5.0,13.0,none,148.46408,80.96154
hebbian,4.0,5.0,14.0,geometric,141.71295,77.14286
hebbian,4.0,5.0,14.0,none,96.210075,79.10714
hebbian,4.0,5.0,15.0,geometric,155.14516,86.0
hebbian,4.0,5.0,15.0,none,141.97427,82.166664
hebbian,4.0,5.0,16.0,geometric,85.04905,82.5
hebbian,4.0,5.0,16.0,none,168.07228,72.03125
hebbian,4.0,5.0,17.0,geometric,196.89009,81.47059
hebbian,4.0,5.0,17.0,none,248.96558,76.32353
hebbian,4.0,5.0,18.0,geometric,170.78862,84.166664
hebbian,4.0,5.0,18.0,none,191.51657,73.47222
hebbian,4.0,5.0,19.0,geometric,266.30875,79.07895
hebbian,4.0,5.0,19.0,none,235.37953,78.1579
hebbian,4.0,5.0,20.0,geometric,229.718,76.0
hebbian,4.0,5.0,20.0,none,247.5858,84.125
hebbian,4.0,5.0,21.0,geometric,220.24528999999998,80.2381
hebbian,4.0,5.0,21.0,none,323.56607,83.92857
hebbian,4.0,5.0,22.0,geometric,211.55872999999997,84.204544
hebbian,4.0,5.0,22.0,none,239.04783999999998,76.818184
hebbian,4.0,5.0,23.0,geometric,299.09143,76.95652
hebbian,4.0,5.0,23.0,none,409.7155,80.434784
hebbian,4.0,6.0,4.0,geometric,15.835165,73.4375
hebbian,4.0,6.0,4.0,none,17.261201999999997,74.479164
hebbian,4.0,6.0,5.0,geometric,23.111849,76.666664
hebbian,4.0,6.0,5.0,none,22.843854999999998,80.416664
hebbian,4.0,6.0,6.0,geometric,29.721357,73.263885
hebbian,4.0,6.0,6.0,none,23.849215,73.263885
hebbian,4.0,6.0,7.0,geometric,38.88286,77.67857
hebbian,4.0,6.0,7.0,none,43.719425,73.21429
hebbian,4.0,6.0,8.0,geometric,80.49338,82.03125
hebbian,4.0,6.0,8.0,none,51.231026,76.302086
hebbian,4.0,6.0,9.0,geometric,43.969254,76.15741
hebbian,4.0,6.0,9.0,none,53.097007999999995,82.87037
hebbian,4.0,6.0,10.0,geometric,112.99495,78.541664
hebbian,4.0,6.0,10.0,none,82.04388,79.375
hebbian,4.0,6.0,11.0,geometric,81.30294,76.32576
hebbian,4.0,6.0,11.0,none,72.64511,79.92424
hebbian,4.0,6.0,12.0,geometric,148.70761000000002,73.78472
hebbian,4.0,6.0,12.0,none,86.55286,84.72222
hebbian,4.0,6.0,13.0,geometric,114.19241000000001,70.51281999999999
hebbian,4.0,6.0,13.0,none,109.287254,79.80769000000001
hebbian,4.0,6.0,14.0,geometric,154.99573999999998,81.99405
hebbian,4.0,6.0,14.0,none,224.71466,79.166664
hebbian,4.0,6.0,15.0,geometric,154.28441,66.25
hebbian,4.0,6.0,15.0,none,137.54997,80.416664
hebbian,4.0,6.0,16.0,geometric,332.8793,69.66145999999999
hebbian,4.0,6.0,16.0,none,234.53267000000002,69.66145999999999
hebbian,4.0,6.0,17.0,geometric,147.30362,76.47059
hebbian,4.0,6.0,17.0,none,182.93225,84.55882
hebbian,4.0,6.0,18.0,geometric,289.43784,84.375
hebbian,4.0,6.0,18.0,none,307.92606,78.00926
hebbian,4.0,6.0,19.0,geometric,228.25822000000002,82.12719
hebbian,4.0,6.0,19.0,none,266.73287999999997,72.916664
hebbian,4.0,6.0,20.0,geometric,220.49303999999998,82.604164
hebbian,4.0,6.0,20.0,none,343.52603,83.541664
hebbian,4.0,6.0,21.0,geometric,350.2431,78.968254
hebbian,4.0,6.0,21.0,none,292.28314,79.06746
hebbian,4.0,6.0,22.0,geometric,384.09415,83.23864
hebbian,4.0,6.0,22.0,none,351.60983,74.33712
hebbian,4.0,6.0,23.0,geometric,433.84085,82.246376
hebbian,4.0,6.0,23.0,none,412.05242999999996,86.141304
hebbian,4.0,7.0,4.0,geometric,12.994105000000001,83.48214
hebbian,4.0,7.0,4.0,none,17.968603,73.66071
hebbian,4.0,7.0,5.0,geometric,22.388485,83.21429
hebbian,4.0,7.0,5.0,none,23.056948000000002,83.57143
hebbian,4.0,7.0,6.0,geometric,20.770452,76.78571
hebbian,4.0,7.0,6.0,none,42.8795,80.059525
hebbian,4.0,7.0,7.0,geometric,29.27719,74.4898
hebbian,4.0,7.0,7.0,none,33.095757,78.31633000000001
hebbian,4.0,7.0,8.0,geometric,48.455463,87.05357
hebbian,4.0,7.0,8.0,none,90.54788,72.99107
hebbian,4.0,7.0,9.0,geometric,53.248830000000005,81.94444
hebbian,4.0,7.0,9.0,none,79.44256,87.5
hebbian,4.0,7.0,10.0,geometric,124.490524,81.42857
hebbian,4.0,7.0,10.0,none,72.60686,78.57143
hebbian,4.0,7.0,11.0,geometric,110.42686499999999,84.09091
hebbian,4.0,7.0,11.0,none,87.18809,78.57143
hebbian,4.0,7.0,12.0,geometric,97.915474,90.625
hebbian,4.0,7.0,12.0,none,159.21577,79.166664
hebbian,4.0,7.0,13.0,geometric,87.62505,82.14286
hebbian,4.0,7.0,13.0,none,135.41437,75.96154
hebbian,4.0,7.0,14.0,geometric,173.2735,75.765305
hebbian,4.0,7.0,14.0,none,155.12688,81.12245
hebbian,4.0,7.0,15.0,geometric,154.65695,87.85714
hebbian,4.0,7.0,15.0,none,263.48087000000004,82.97619
hebbian,4.0,7.0,16.0,geometric,253.96791000000002,81.13839
hebbian,4.0,7.0,16.0,none,161.87077,77.34375
hebbian,4.0,7.0,17.0,geometric,257.5899,75.73529
hebbian,4.0,7.0,17.0,none,286.9989,79.62185
hebbian,4.0,7.0,18.0,geometric,235.24257999999998,78.968254
hebbian,4.0,7.0,18.0,none,225.38773999999998,75.0
hebbian,4.0,7.0,19.0,geometric,211.18819,85.52631
hebbian,4.0,7.0,19.0,none,289.72144,76.2218
hebbian,4.0,7.0,20.0,geometric,358.32437000000004,83.66071
hebbian,4.0,7.0,20.0,none,419.80987999999996,86.33929
hebbian,4.0,7.0,21.0,geometric,373.24487,75.93536999999999
hebbian,4.0,7.0,21.0,none,393.12366000000003,86.309525
hebbian,4.0,7.0,22.0,geometric,373.87115,77.516235
hebbian,4.0,7.0,22.0,none,580.09796,84.25325
hebbian,4.0,7.0,23.0,geometric,595.7735,80.35714
hebbian,4.0,7.0,23.0,none,381.17297,79.42546999999999
hebbian,4.0,8.0,4.0,geometric,23.940159,78.125
hebbian,4.0,8.0,4.0,none,27.697628,78.90625
hebbian,4.0,8.0,5.0,geometric,24.819143,84.375
hebbian,4.0,8.0,5.0,none,35.409733,80.625
hebbian,4.0,8.0,6.0,geometric,42.596709999999995,73.958336
hebbian,4.0,8.0,6.0,none,41.973183,80.989586
hebbian,4.0,8.0,7.0,geometric,49.37117,76.78571
hebbian,4.0,8.0,7.0,none,53.201243999999996,79.46429
hebbian,4.0,8.0,8.0,geometric,120.30266599999999,80.078125
hebbian,4.0,8.0,8.0,none,86.76249,72.85155999999999
hebbian,4.0,8.0,9.0,geometric,70.79912,81.423615
hebbian,4.0,8.0,9.0,none,82.80114,71.52778
hebbian,4.0,8.0,10.0,geometric,96.54933,80.625
hebbian,4.0,8.0,10.0,none,90.69678499999999,75.78125
hebbian,4.0,8.0,11.0,geometric,109.39388000000001,82.52841
hebbian,4.0,8.0,11.0,none,109.86289,81.107956
hebbian,4.0,8.0,12.0,geometric,164.02872,77.083336
hebbian,4.0,8.0,12.0,none,196.31429,73.697914
hebbian,4.0,8.0,13.0,geometric,205.23805,85.33654
