update_rule,K,N,L,attack,tt,training_time,adversary_score_none,adversary_score_geometric,adversary_score_average
anti_hebbian,24,24,24,none,14501.9065,7255.599135,79.16666667,80.544705,79.85568583
hebbian,4,4,4,geometric,9.291769167,8.823794593,78.63399621,79.16666667,78.90033144
hebbian,4,4,4,none,8.355820019,9.14121201,70.625,78.63399621,74.62949811
hebbian,4,4,5,geometric,9.926604,10.861869,79.375,70.625,75
hebbian,4,4,5,none,11.797134,15.7392845,77.083336,79.375,78.229168
hebbian,4,4,6,geometric,19.681435,26.7627795,72.916664,77.083336,75
hebbian,4,4,6,none,33.844124,35.960812,75.89286,72.916664,74.404762
hebbian,4,4,7,geometric,38.0775,29.7632375,84.375,75.89286,80.13393
hebbian,4,4,7,none,21.448975,20.7091275,83.984375,84.375,84.1796875
hebbian,4,4,8,geometric,19.96928,23.276639,78.515625,83.984375,81.25
hebbian,4,4,8,none,26.583998,42.728969,79.513885,78.515625,79.014755
hebbian,4,4,9,geometric,58.87394,43.6935085,76.736115,79.513885,78.125
hebbian,4,4,9,none,28.513077,39.3303795,81.875,76.736115,79.3055575
hebbian,4,4,10,geometric,50.147682,41.319401,82.5,81.875,82.1875
hebbian,4,4,10,none,32.49112,38.308201,77.556816,82.5,80.028408
hebbian,4,4,11,geometric,44.125282,47.250251,82.38636,77.556816,79.971588
hebbian,4,4,11,none,50.37522,49.2702,82.8125,82.38636,82.59943
hebbian,4,4,12,geometric,48.16518,59.8031825,69.270836,82.8125,76.041668
hebbian,4,4,12,none,71.441185,78.7914125,76.68269,69.270836,72.976763
hebbian,4,4,13,geometric,86.14164,137.47748,86.29808,76.68269,81.490385
hebbian,4,4,13,none,188.81332,150.37505,77.00893,86.29808,81.653505
hebbian,4,4,14,geometric,111.93678,117.20759,83.03571,77.00893,80.02232
hebbian,4,4,14,none,122.4784,94.798205,80.208336,83.03571,81.622023
hebbian,4,4,15,geometric,67.11801,81.67348,81.666664,80.208336,80.9375
hebbian,4,4,15,none,96.22895,117.23747,84.765625,81.666664,83.2161445
hebbian,4,4,16,geometric,138.24599,122.727228,72.46094,84.765625,78.6132825
hebbian,4,4,16,none,107.208466,121.520393,83.63971,72.46094,78.050325
hebbian,4,4,17,geometric,135.83232,105.4157975,80.51471,83.63971,82.07721
hebbian,4,4,17,none,74.999275,131.5153375,71.875,80.51471,76.194855
hebbian,4,4,18,geometric,188.0314,168.160485,79.166664,71.875,75.520832
hebbian,4,4,18,none,148.28957,183.354935,85.197365,79.166664,82.1820145
hebbian,4,4,19,geometric,218.4203,175.679105,84.375,85.197365,84.7861825
hebbian,4,4,19,none,132.93791,137.52256,85.625,84.375,85
hebbian,4,4,20,geometric,142.10721,153.794795,79.375,85.625,82.5
hebbian,4,4,20,none,165.48238,218.05381,86.60714,79.375,82.99107
hebbian,4,4,21,geometric,270.62524,224.17662,77.083336,86.60714,81.845238
hebbian,4,4,21,none,177.728,169.632,80.11364,77.083336,78.598488
hebbian,4,4,22,geometric,161.536,148.5659,75.568184,80.11364,77.840912
hebbian,4,4,22,none,135.5958,161.27554,83.016304,75.568184,79.292244
hebbian,4,4,23,geometric,186.95528,184.237225,72.28261,83.016304,77.649457
hebbian,4,4,23,none,181.51917,263.3943275,80.92448,72.28261,76.603545
hebbian,4,4,24,geometric,345.269485,307.7830244,79.95386525,80.92448,80.43917263
hebbian,4,4,24,none,270.2965639,141.3674124,73.125,79.95386525,76.53943263
hebbian,4,5,4,geometric,12.438261,11.4851095,85,73.125,79.0625
hebbian,4,5,4,none,10.531958,16.8351815,85.5,85,85.25
hebbian,4,5,5,geometric,23.138405,19.6553105,77,85.5,81.25
hebbian,4,5,5,none,16.172216,19.934298,77.5,77,77.25
hebbian,4,5,6,geometric,23.69638,24.503802,76.25,77.5,76.875
hebbian,4,5,6,none,25.311224,25.322401,82.5,76.25,79.375
hebbian,4,5,7,geometric,25.333578,28.501219,77.5,82.5,80
hebbian,4,5,7,none,31.66886,37.296901,79.6875,77.5,78.59375
hebbian,4,5,8,geometric,42.924942,43.647256,85.9375,79.6875,82.8125
hebbian,4,5,8,none,44.36957,59.217683,82.77778,85.9375,84.35764
hebbian,4,5,9,geometric,74.065796,70.403853,76.94444,82.77778,79.86111
hebbian,4,5,9,none,66.74191,63.9808375,80.75,76.94444,78.84722
hebbian,4,5,10,geometric,61.219765,65.9061375,87,80.75,83.875
hebbian,4,5,10,none,70.59251,104.095725,83.86364,87,85.43182
hebbian,4,5,11,geometric,137.59894,98.292185,81.818184,83.86364,82.840912
hebbian,4,5,11,none,58.98543,70.49489,78.125,81.818184,79.971592
