steps,training_time
2849,158.038
126,6.8216133
7274,397.45508
5329,297.74527
120,6.41934
164,8.372597
149,7.548141
3903,205.27008
91,4.344224
166,8.57689
4567,228.90521
8183,437.5303
4548,237.60695
169,9.297754
4795,260.23914
200,11.069928
202,10.452806
5157,282.7171
172,8.7116585
4851,258.55838
257,13.868128
4995,255.58472
133,7.582943
118,6.5411
162,8.881197
4433,238.93462
187,9.599651
122,6.237275
182,9.748468
4844,258.1147
6169,380.3277
5756,319.85095
4381,245.31288
102,5.500588
146,7.698855
142,7.563056
4687,253.80518
4221,226.66304
178,9.484431
3990,221.56528
5552,286.41574
199,9.438629
114,6.2260323
204,11.146432
6237,337.1101
4236,242.7772
5954,279.66684
4807,249.64941
5647,331.70633
4309,224.7186
150,7.600972
4450,235.41968
120,6.444653
221,12.290688
4302,232.0071
5310,276.68268
5482,293.18192
139,6.961898
4399,236.26068
155,8.335089
116,6.3210163
4467,233.81992
124,6.48909
3389,194.32979
6594,365.65555
5547,299.20486
5289,291.55328
3717,200.29303
2720,144.02231
5833,313.2776
112,5.9089727
6809,413.826
145,7.9223948
174,9.405189
4569,245.57945
238,11.766832
4556,248.5094
169,8.673552
5126,283.17767
8370,471.8307
152,8.510285
3264,165.77765
162,8.500024
5302,264.16562
330,18.019283
145,8.057394
128,7.0234623
7138,388.47153
162,9.070881
4353,253.88979
131,6.903873
169,9.398532
4925,259.94196
180,9.420947
7449,383.94882
146,7.260296
6112,338.91827
80,4.7363567
4165,214.22905
194,9.034058
204,11.279845
4723,255.05301
124,6.5855503
158,8.4835
192,10.893152
6378,348.67645
143,6.8504763
146,8.234731
150,8.775716
2966,170.65189
3912,209.89658
3291,186.96387
3887,190.08368
5137,269.40637
6091,342.68088
88,4.387818
3940,202.02385
111,6.026368
137,7.3736887
7124,383.24524
203,10.142561
5355,295.6538
5078,291.0142
5310,288.63663
3911,219.24574
91,4.904179
146,7.550394
4769,264.37802
239,12.220199
4763,248.47368
5080,262.64536
5072,272.35522
3724,204.97433
4091,221.25574
190,11.010754
5608,285.5218
4423,247.0646
98,4.921577
167,8.492859
190,10.261127
