update_rule,K,N,L,attack,training_time,adversary_score
anti_hebbian,4.0,4.0,24.0,none,183.61906,82.16146
anti_hebbian,4.0,4.0,24.0,none,274.56952,81.770836
random_walk,4.0,4.0,24.0,none,350.16428,82.8125
random_walk,4.0,4.0,4.0,none,11.9769745,75.78125
random_walk,4.0,4.0,24.0,none,222.79431,74.479164
hebbian,4.0,4.0,24.0,none,400.50208,77.99479
hebbian,4.0,4.0,24.0,none,247.02187,73.30729
hebbian,4.0,4.0,4.0,none,10.825806,82.8125
hebbian,4.0,4.0,24.0,none,251.91086,85.28646
anti_hebbian,4.0,4.0,24.0,none,294.92435,86.979164
anti_hebbian,4.0,4.0,4.0,none,14.006175,71.09375
random_walk,4.0,4.0,4.0,none,6.520112,92.96875
anti_hebbian,4.0,4.0,24.0,none,362.95956,79.03646
hebbian,4.0,4.0,4.0,none,4.5674896,88.28125
hebbian,4.0,4.0,24.0,none,211.2224,77.99479
hebbian,4.0,4.0,24.0,none,330.96298,79.03646
anti_hebbian,4.0,4.0,4.0,none,7.467742,81.25
hebbian,4.0,4.0,4.0,none,12.053422,73.4375
anti_hebbian,4.0,4.0,24.0,none,363.5734,88.15104
random_walk,4.0,4.0,4.0,none,3.724454,82.03125
anti_hebbian,4.0,4.0,4.0,none,7.2055616,80.46875
hebbian,4.0,4.0,24.0,none,277.43268,74.609375
random_walk,4.0,4.0,24.0,none,306.67206,79.947914
anti_hebbian,4.0,4.0,24.0,none,190.34842,77.47396
anti_hebbian,4.0,4.0,24.0,none,363.8211,85.15625
random_walk,4.0,4.0,4.0,none,8.691622,80.46875
hebbian,4.0,4.0,4.0,none,8.735526,82.03125
hebbian,4.0,4.0,24.0,none,261.0104,78.385414
hebbian,4.0,4.0,4.0,none,6.3296547,76.5625
anti_hebbian,4.0,4.0,4.0,none,8.164256,84.375
anti_hebbian,4.0,4.0,4.0,none,5.986095,76.5625
hebbian,4.0,4.0,24.0,none,168.58704,78.25521
anti_hebbian,4.0,4.0,4.0,none,5.189322,74.21875
hebbian,4.0,4.0,4.0,none,7.430945,85.9375
hebbian,4.0,4.0,4.0,none,6.236633,76.5625
random_walk,4.0,4.0,4.0,none,7.405656,79.6875
anti_hebbian,4.0,4.0,24.0,none,416.3965,78.25521
random_walk,4.0,4.0,4.0,none,6.418991,75.0
anti_hebbian,4.0,4.0,4.0,none,7.305171,82.8125
hebbian,4.0,4.0,4.0,none,10.903158,82.8125
anti_hebbian,4.0,4.0,24.0,none,324.6515,83.203125
random_walk,4.0,4.0,4.0,none,5.573709,82.03125
anti_hebbian,4.0,4.0,4.0,none,15.723022,86.71875
random_walk,4.0,4.0,4.0,none,6.6080837,75.78125
hebbian,4.0,4.0,24.0,none,289.1545,81.25
random_walk,4.0,4.0,4.0,none,6.3852463,78.90625
anti_hebbian,4.0,4.0,24.0,none,212.0875,76.822914
hebbian,4.0,4.0,4.0,none,14.453423,83.59375
hebbian,4.0,4.0,24.0,none,178.15787,73.046875
random_walk,4.0,4.0,4.0,none,7.392557,77.34375
anti_hebbian,4.0,4.0,4.0,none,9.8334465,85.15625
hebbian,4.0,4.0,24.0,none,176.13545,81.11979
hebbian,4.0,4.0,4.0,none,8.623901,76.5625
anti_hebbian,4.0,4.0,24.0,none,382.90112,79.166664
hebbian,4.0,4.0,4.0,none,8.282537,74.21875
anti_hebbian,4.0,4.0,4.0,none,5.455662,79.6875
random_walk,4.0,4.0,4.0,none,17.223534,67.96875
anti_hebbian,4.0,4.0,24.0,none,389.99823,74.34896
anti_hebbian,4.0,4.0,4.0,none,7.918684,75.78125
anti_hebbian,4.0,4.0,24.0,none,365.05807,80.078125
random_walk,4.0,4.0,4.0,none,10.814214,82.8125
hebbian,4.0,4.0,24.0,none,245.03195,80.208336
anti_hebbian,4.0,4.0,24.0,none,265.5035,90.234375
anti_hebbian,4.0,4.0,4.0,none,7.600562,82.03125
anti_hebbian,4.0,4.0,24.0,none,366.08383,75.260414
anti_hebbian,4.0,4.0,4.0,none,13.034623,86.71875
random_walk,4.0,4.0,4.0,none,9.552245,78.90625
hebbian,4.0,4.0,24.0,none,204.30052,76.43229
hebbian,4.0,4.0,4.0,none,9.262986,73.4375
hebbian,4.0,4.0,4.0,none,5.631009,73.4375
hebbian,4.0,4.0,24.0,none,296.0625,83.333336
hebbian,4.0,4.0,24.0,none,184.05232,82.94271
anti_hebbian,4.0,4.0,4.0,none,5.860661,60.9375
hebbian,4.0,4.0,4.0,none,8.123402,85.9375
anti_hebbian,4.0,4.0,24.0,none,291.67545,81.770836
random_walk,4.0,4.0,4.0,none,8.670717,65.625
anti_hebbian,4.0,4.0,4.0,none,6.158984,84.375
hebbian,4.0,4.0,4.0,none,9.401358,79.6875
hebbian,4.0,4.0,24.0,none,130.34654,86.58854
anti_hebbian,4.0,4.0,24.0,none,403.28116,81.25
random_walk,4.0,4.0,24.0,none,274.98175,77.47396
hebbian,4.0,4.0,4.0,none,10.116242,82.03125
hebbian,4.0,4.0,24.0,none,156.40416,76.171875
anti_hebbian,4.0,4.0,4.0,none,9.418424,75.78125
random_walk,4.0,4.0,4.0,none,10.615934,77.34375
anti_hebbian,4.0,4.0,24.0,none,276.07758,78.77604
hebbian,4.0,4.0,4.0,none,6.501801,75.0
hebbian,4.0,4.0,24.0,none,388.2677,86.197914
anti_hebbian,4.0,4.0,4.0,none,6.4169188,79.6875
hebbian,4.0,4.0,24.0,none,226.45074,81.640625
anti_hebbian,4.0,4.0,4.0,none,4.0075684,78.125
hebbian,4.0,4.0,4.0,none,8.22923,90.625
random_walk,4.0,4.0,4.0,none,5.817733,79.6875
anti_hebbian,4.0,4.0,24.0,none,287.86148,76.171875
hebbian,4.0,4.0,24.0,none,347.89273,79.03646
anti_hebbian,4.0,4.0,24.0,none,202.08627,77.083336
hebbian,4.0,4.0,4.0,none,6.4353437,67.96875
hebbian,4.0,4.0,24.0,none,445.78235,77.99479
anti_hebbian,4.0,4.0,24.0,none,409.1554,77.99479
random_walk,4.0,4.0,4.0,none,9.03194,83.59375
hebbian,4.0,4.0,4.0,none,6.935066,72.65625
anti_hebbian,4.0,4.0,4.0,none,9.988578,79.6875
anti_hebbian,4.0,4.0,4.0,none,6.775962,75.0
random_walk,4.0,4.0,4.0,none,5.921254,82.8125
anti_hebbian,4.0,4.0,24.0,none,201.8083,75.91146
hebbian,4.0,4.0,4.0,none,6.806027,86.71875
hebbian,4.0,4.0,24.0,none,234.2708,83.072914
anti_hebbian,4.0,4.0,4.0,none,4.286152,67.96875
anti_hebbian,4.0,4.0,24.0,none,258.50977,83.984375
hebbian,4.0,4.0,24.0,none,177.43575,88.541664
hebbian,4.0,4.0,4.0,none,5.77934,79.6875
